Geneid	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/SCP3954_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/SCP4733_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0148_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0596_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0932_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP1206_marked_duplicates.bam
ENSG00000116685.15	589	225	1079	372	417	380
ENSG00000083444.16	908	208	1614	1095	400	426
ENSG00000116688.16	1288	476	2322	643	1104	873
ENSG00000270914.1	0	0	0	0	0	0
ENSG00000116691.10	101	29	238	81	146	41
ENSG00000202461.1	0	0	0	0	0	0
ENSG00000276869.1	0	0	0	0	0	0
ENSG00000243539.3	0	0	0	0	0	0
ENSG00000120949.14	10	1	11	5	2	1
ENSG00000201135.1	0	0	0	0	0	0
ENSG00000227875.2	0	0	0	0	0	0
ENSG00000285604.1	0	0	0	0	0	0
ENSG00000283789.1	0	0	0	0	0	0
ENSG00000028137.18	1491	172	4044	1098	373	494
ENSG00000263676.1	0	0	0	0	0	0
ENSG00000225196.2	0	0	0	0	0	0
ENSG00000252969.1	0	0	0	0	0	0
ENSG00000048707.15	3223	1136	2470	1017	1236	1140
ENSG00000239149.1	0	0	0	0	0	0
ENSG00000229484.1	1	0	0	1	1	0
ENSG00000162496.8	612	115	559	391	495	240
ENSG00000221340.1	0	0	0	0	0	0
ENSG00000276830.1	0	0	0	0	0	0
ENSG00000272482.1	10	2	6	2	4	3
ENSG00000204518.2	0	0	0	0	0	0
ENSG00000226166.2	0	0	0	0	0	0
ENSG00000188984.11	7	0	104	32	3	1
ENSG00000157330.9	0	1	1	0	0	0
ENSG00000116726.4	0	0	0	0	0	0
ENSG00000116721.9	1	0	0	0	0	0
ENSG00000228338.1	0	0	0	0	0	0
ENSG00000239810.3	0	0	0	0	0	0
ENSG00000231103.2	0	0	0	0	0	0
ENSG00000179172.9	0	0	0	0	0	0
ENSG00000120952.4	0	0	0	0	0	0
ENSG00000243073.3	0	0	0	0	0	0
ENSG00000187545.5	0	0	0	0	0	0
ENSG00000204510.5	0	0	0	0	0	0
ENSG00000207434.1	0	0	0	0	0	0
ENSG00000234064.1	0	0	0	0	0	0
ENSG00000232423.6	0	0	0	0	0	0
ENSG00000274178.2	0	0	0	0	0	0
ENSG00000274764.5	0	0	0	0	0	0
ENSG00000277058.2	0	0	0	0	0	0
ENSG00000229571.7	0	0	0	0	0	0
ENSG00000277862.1	0	0	0	0	0	0
ENSG00000236179.1	0	0	0	0	0	0
ENSG00000275774.2	0	0	0	0	0	0
ENSG00000229978.1	0	0	0	0	0	0
ENSG00000233336.1	0	0	0	0	0	0
ENSG00000280267.4	0	0	0	0	0	0
ENSG00000179412.10	0	0	0	0	0	0
ENSG00000204505.4	0	0	0	0	0	0
ENSG00000279169.2	0	0	0	0	0	0
ENSG00000279804.2	0	0	0	0	0	0
ENSG00000250894.1	0	0	0	0	0	0
ENSG00000270601.4	0	0	0	0	0	0
ENSG00000231219.1	0	0	0	0	0	0
ENSG00000207511.1	0	0	0	0	0	0
ENSG00000182330.10	0	0	0	0	0	0
ENSG00000237700.2	0	0	0	0	0	0
ENSG00000204501.7	0	0	0	0	0	0
ENSG00000228229.2	0	0	0	0	0	0
ENSG00000204481.7	0	0	0	0	0	0
ENSG00000204480.8	0	0	0	0	0	0
ENSG00000204479.4	0	0	0	0	0	0
ENSG00000204478.9	0	0	0	0	0	0
ENSG00000162494.5	1	1	0	0	1	3
ENSG00000259961.1	0	0	0	0	0	0
ENSG00000215909.3	0	0	0	0	0	0
ENSG00000162493.16	999	187	724	1202	248	322
ENSG00000222952.1	0	0	0	0	0	0
ENSG00000237445.2	0	0	0	0	0	0
ENSG00000253085.1	0	0	0	0	0	0
ENSG00000116731.22	1105	622	658	402	778	473
ENSG00000189337.16	757	278	278	82	428	345
ENSG00000252151.1	0	0	0	0	0	0
